ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294666388/,Москва и Московская область,sale,flat,4,24,2,57.34,-1,0,6375061.0,мкр. РИП,Российская ,,,Гулливер
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308872981/,Москва и Московская область,sale,flat,37,37,2,48.0,-1,0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 78359787,homeowner,https://www.cian.ru/sale/flat/306775783/,Москва и Московская область,sale,flat,2,9,2,37.4,-1,0,14490000.0,Нагатино-Садовники,Высокая ,20,Коломенская,
Садовое кольцо,developer,https://kazan.cian.ru/sale/flat/308626949/,Москва и Московская область,sale,flat,3,21,2,72.09,-1,0,19803495.0,Ново-Савиновский,,,Козья слобода,Савин Фемили ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302177521/,Москва и Московская область,sale,flat,3,15,2,58.54,-1,0,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Сулейман Махаури,realtor,https://krasnogorsk.cian.ru/sale/flat/294741975/,Москва и Московская область,sale,flat,16,24,2,82.0,-1,0,9700000.0,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы
ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294669694/,Москва и Московская область,sale,flat,2,15,2,58.65,-1,0,12742886.0,,,,,Екатерининский парк
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/308069817/,Москва и Московская область,sale,flat,4,21,2,54.0,-1,0,58000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/272828990/,Москва и Московская область,sale,flat,6,17,1,38.0,-1,0,9350000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
Эталон,developer,https://ekb.cian.ru/sale/flat/308412334/,Москва и Московская область,sale,flat,21,25,2,33.84,-1,0,5924907.0,Железнодорожный,Сортировочный жилрайон,,Уральская,Раута ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306883426/,Москва и Московская область,sale,flat,2,21,2,71.9,-1,0,65000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
